age_group,date,J12_J18,NoPCV,pop,A00_A09,A15_A19,A20_A28,A30_49,A50_A64,A65_A69,A70_A74,A75_A79,A80_A89,A90_A99,B00_B09,B15_B19,B20_B24,B25_B34,B35_B49,B50_B64,B65_B83,B85_B89,B90_B94,B95_B98,B99_B99,C00_C97,D00_D09,D10_D36,D37_D48,D50_D53,D55_D59,D60_D64,D65_D69,D70_D77,D80_D89,E00_E07,E10_E14,E15_E16,E20_E35,E40_E46,E50_E64,E65_E68,E70_E90,F00_99,G00_G09,G10_G14,G20_G26,G30_G32,G35_G37,G40_G47,G50_G59,G60_G64,G70_G73,G80_G83,G90_G99,H00_H06,H10_H13,H15_H22,H25_H28,H30_H36,H40_H42,H43_H45,H46_H48,H49_H52,H53_H54,H55_H59,H60_H62,H65_H75,H80_H83,H90_H95,I00_I02,I05_I09,I10_I15,I20_I25,I26_I28,I30_I52,I60_69,I70_I79,I80_I89,I95_I99,J00_J06,J09_J18,J20_J22,J30_J39,J40_J47,J60_J70,J80_J84,J85_J86,J90_J94,J95_J99,K00_K14,K20_K31,K35_K38,K40_K46,K50_K52,K55_K63,K65_K67,K70_K77,K80_K87,K90_K93,L00_L08,L10_L14,L20_L30,L40_L45,L50_L54,L55_L59,L60_L75,L80_L99,M00_M25,M30_M36,M40_M54,M60_M79,M80_M94,M95_M99,N00_N08,N10_N16,N17_N19,N20_N23,N25_N29,N30_N39,N40_N51,N60_N64,N70_N77,N80_N98,N99_N99,O00_99,P00_P04,P05_P08,P10_P15,P20_P29,P35_P39,P50_P61,P70_P74,P75_P78,P80_P83,P90_P96,Q00_Q07,Q10_Q18,Q20_Q28,Q30_Q34,Q35_Q37,Q38_Q45,Q50_Q56,Q60_Q64,Q65_Q79,Q80_Q89,Q90_Q99,R00_R09,R10_R19,R20_R23,R25_R29,R30_R39,R40_R46,R47_R49,R50_R69,R70_R79,R80_R82,R83_R89,R90_R94,R95_R99,S00_S09,S10_S19,S20_S29,S30_S39,S40_S49,S50_S59,S60_S69,S70_S79,S80_S89,S90_S99,T00_T07,T08_T14,T15_T19,T20_T32,T33_T35,T36_T50,T51_T65,T66_T78,T79_T79,T80_T88,T90_T98,V01_X59,X60_X84,X85_Y09,Y10_Y99,Z00_Z13,Z20_Z29,Z30_Z39,Z40_Z54,Z55_Z65,Z70_Z76,Z80_Z99
3-<12mo_morepoor,1/1/2004,74,667,1081054.993,191,0,0,42,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,2,0,0,0,3,2,9,1,0,0,1,0,0,2,72,0,0,3,0,7,1,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,74,1,0,0,3,6,1,1,21,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,2,0,7,4,0,1,1,0,3,7,0,17,0,1,2,0,0,0,6,3,11,0,0,0,0,0,0,2,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,0,0,0,0,0
3-<12mo_morepoor,4/1/2004,79,450,1076594.37,85,0,0,43,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,4,0,0,0,6,0,9,3,0,1,0,0,0,0,69,0,0,1,0,4,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,1,80,5,0,3,0,2,0,0,18,0,0,0,1,0,6,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,4,3,0,0,1,0,3,6,0,19,1,0,4,0,1,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0
3-<12mo_morepoor,7/1/2004,71,391,1071972.998,80,2,0,36,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,1,0,0,43,0,0,2,0,4,1,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,2,1,0,0,0,73,2,0,3,0,0,0,1,16,0,2,0,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,13,1,1,1,0,0,1,1,0,17,2,1,4,0,1,0,4,3,11,0,0,0,0,0,0,3,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0
3-<12mo_morepoor,10/1/2004,59,360,1067195.195,81,0,0,29,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,2,0,1,0,2,0,5,0,0,0,0,0,0,0,38,0,0,2,0,5,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,1,0,0,0,1,59,1,0,4,2,0,0,3,11,0,0,0,0,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,8,2,0,0,1,0,1,2,0,16,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,6,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
3-<12mo_morepoor,1/1/2005,67,422,1062265.282,130,0,0,36,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,5,0,7,1,0,0,0,0,0,0,52,0,0,1,0,7,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,1,68,3,0,6,2,1,0,1,13,0,0,0,0,3,4,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,2,1,1,0,0,2,6,0,17,0,0,6,0,0,2,1,5,14,0,0,0,0,0,0,3,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
3-<12mo_morepoor,4/1/2005,116,514,1057187.575,142,0,0,48,0,0,0,0,0,0,0,1,2,0,0,8,0,1,0,0,0,4,0,0,0,8,0,12,0,0,0,0,2,0,1,68,1,0,3,0,9,1,0,0,0,1,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,1,116,3,0,6,4,4,0,0,19,0,0,0,0,1,2,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,4,2,1,0,0,0,3,6,0,26,3,1,5,0,0,1,2,4,6,0,0,0,0,0,0,2,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,3,0,0,0,0,0,0,0
3-<12mo_morepoor,7/1/2005,74,418,1051966.396,135,0,0,45,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,1,0,0,0,2,3,13,2,1,0,0,0,0,0,50,0,0,1,0,8,2,0,0,0,3,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,74,3,0,5,2,0,0,2,17,0,0,0,0,1,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,2,0,0,16,0,0,0,1,0,3,3,0,23,1,0,3,0,2,2,2,5,9,0,0,0,0,0,0,1,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0
3-<12mo_morepoor,10/1/2005,58,317,1046606.062,93,1,0,40,0,0,0,0,1,0,1,1,1,0,1,3,1,0,0,0,1,1,0,0,1,4,0,6,0,1,0,0,1,0,0,36,0,0,3,0,4,0,0,1,0,2,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,59,2,0,1,3,2,0,0,16,1,0,0,1,4,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,6,0,16,1,0,1,0,0,1,3,2,9,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
3-<12mo_morepoor,1/1/2006,65,368,1041110.892,120,1,0,34,0,0,0,0,1,0,3,0,0,0,1,4,0,0,0,0,1,3,0,0,0,1,2,9,1,0,0,0,0,0,2,34,1,0,16,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,0,66,1,0,2,0,1,0,1,7,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,1,0,3,0,0,1,8,0,19,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,7,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
3-<12mo_morepoor,4/1/2006,71,403,1035485.206,125,1,0,33,0,0,0,0,0,0,0,0,0,1,1,6,0,1,0,0,0,5,1,0,0,2,2,7,0,0,1,0,1,0,0,43,2,0,9,0,7,1,0,1,0,3,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,0,0,0,0,0,74,3,0,6,1,2,1,2,6,0,0,0,0,0,7,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,11,2,0,4,2,0,2,7,0,21,1,0,4,0,2,1,4,3,5,0,0,0,0,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0
