age_group,date,J12_J18,NoPCV,pop,A00_A09,A15_A19,A20_A28,A30_49,A50_A64,A65_A69,A70_A74,A75_A79,A80_A89,A90_A99,B00_B09,B15_B19,B20_B24,B25_B34,B35_B49,B50_B64,B65_B83,B85_B89,B90_B94,B95_B98,B99_B99,C00_C97,D00_D09,D10_D36,D37_D48,D50_D53,D55_D59,D60_D64,D65_D69,D70_D77,D80_D89,E00_E07,E10_E14,E15_E16,E20_E35,E40_E46,E50_E64,E65_E68,E70_E90,F00_99,G00_G09,G10_G14,G20_G26,G30_G32,G35_G37,G40_G47,G50_G59,G60_G64,G70_G73,G80_G83,G90_G99,H00_H06,H10_H13,H15_H22,H25_H28,H30_H36,H40_H42,H43_H45,H46_H48,H49_H52,H53_H54,H55_H59,H60_H62,H65_H75,H80_H83,H90_H95,I00_I02,I05_I09,I10_I15,I20_I25,I26_I28,I30_I52,I60_69,I70_I79,I80_I89,I95_I99,J00_J06,J09_J18,J20_J22,J30_J39,J40_J47,J60_J70,J80_J84,J85_J86,J90_J94,J95_J99,K00_K14,K20_K31,K35_K38,K40_K46,K50_K52,K55_K63,K65_K67,K70_K77,K80_K87,K90_K93,L00_L08,L10_L14,L20_L30,L40_L45,L50_L54,L55_L59,L60_L75,L80_L99,M00_M25,M30_M36,M40_M54,M60_M79,M80_M94,M95_M99,N00_N08,N10_N16,N17_N19,N20_N23,N25_N29,N30_N39,N40_N51,N60_N64,N70_N77,N80_N98,N99_N99,O00_99,P00_P04,P05_P08,P10_P15,P20_P29,P35_P39,P50_P61,P70_P74,P75_P78,P80_P83,P90_P96,Q00_Q07,Q10_Q18,Q20_Q28,Q30_Q34,Q35_Q37,Q38_Q45,Q50_Q56,Q60_Q64,Q65_Q79,Q80_Q89,Q90_Q99,R00_R09,R10_R19,R20_R23,R25_R29,R30_R39,R40_R46,R47_R49,R50_R69,R70_R79,R80_R82,R83_R89,R90_R94,R95_R99,S00_S09,S10_S19,S20_S29,S30_S39,S40_S49,S50_S59,S60_S69,S70_S79,S80_S89,S90_S99,T00_T07,T08_T14,T15_T19,T20_T32,T33_T35,T36_T50,T51_T65,T66_T78,T79_T79,T80_T88,T90_T98,V01_X59,X60_X84,X85_Y09,Y10_Y99,Z00_Z13,Z20_Z29,Z30_Z39,Z40_Z54,Z55_Z65,Z70_Z76,Z80_Z99
3-<12mo_high,7/1/2006,163,904,4210843.45,108,2,0,77,1,0,0,0,1,0,7,2,12,0,4,5,0,1,0,0,0,15,0,1,2,0,1,4,2,0,2,0,1,0,0,27,1,0,19,0,47,3,0,0,0,4,3,1,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,5,21,3,0,1,0,3,163,29,0,7,11,13,2,2,17,0,12,0,2,3,4,0,6,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,5,2,0,51,15,0,2,7,2,4,38,0,147,14,1,18,0,3,8,15,35,5,0,0,0,0,0,0,3,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,4,11,0,0,0,0,0,0,0
3-<12mo_high,10/1/2006,114,787,4191776.745,51,2,0,74,0,0,0,0,4,0,4,0,10,1,0,2,0,0,0,0,1,19,0,2,0,2,3,5,2,0,4,0,0,1,0,20,0,0,13,0,22,4,0,1,0,3,0,2,1,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,3,0,0,0,1,114,15,1,3,9,8,0,3,15,0,5,1,0,1,7,2,10,1,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,9,3,0,44,14,2,0,6,0,5,42,0,135,15,1,14,1,1,15,9,33,11,0,0,0,0,0,0,4,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,4,8,0,0,0,0,0,0,0
3-<12mo_high,1/1/2007,98,755,4172180.478,57,1,0,57,0,0,0,0,3,0,0,0,3,4,1,5,2,0,0,0,0,16,0,0,1,0,5,10,4,1,2,2,0,0,3,25,0,0,21,0,22,4,0,0,0,0,0,1,0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,27,3,0,3,0,2,98,16,1,15,18,2,1,1,15,0,4,0,2,2,7,1,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,12,4,0,39,9,0,2,6,1,8,35,0,121,14,2,23,0,2,11,17,30,7,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,3,5,0,0,0,0,0,0,0
3-<12mo_high,4/1/2007,114,772,4152078.943,50,2,0,67,0,0,0,0,0,4,6,0,4,1,0,1,0,0,0,0,2,12,1,3,1,2,2,3,6,2,4,1,0,1,1,26,0,0,17,0,41,1,0,1,0,7,0,3,1,11,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,24,3,0,1,0,1,114,18,1,10,19,8,0,1,11,1,13,1,0,0,7,2,3,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,7,0,0,55,14,2,0,10,0,1,39,0,128,13,1,11,1,2,6,13,27,8,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,11,0,0,0,0,0,0,0
3-<12mo_high,7/1/2007,117,786,4131496.432,40,1,0,52,0,0,0,0,0,2,6,1,7,3,1,9,1,0,0,0,1,14,0,0,1,1,2,2,4,0,1,0,2,3,2,24,0,0,9,0,31,2,0,3,0,5,1,2,3,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,26,4,0,0,0,1,117,18,2,8,15,7,1,2,10,0,10,0,3,0,8,4,5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,7,7,0,45,14,0,1,3,2,5,42,0,122,18,1,28,0,4,6,16,28,6,0,0,0,0,0,0,2,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,2,9,0,0,0,0,0,0,0
3-<12mo_high,10/1/2007,124,749,4110457.24,52,2,0,55,0,0,0,0,1,0,13,0,4,1,1,1,0,0,0,0,0,11,0,0,2,0,3,1,3,1,4,0,2,0,2,20,0,0,18,0,30,3,0,0,0,4,1,3,1,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,28,2,0,1,0,3,125,10,0,5,10,4,1,0,17,0,2,0,0,1,6,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,6,6,0,43,11,0,0,3,0,6,38,0,120,14,0,28,0,2,8,11,32,8,0,0,0,0,0,0,2,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,5,16,0,0,0,0,0,0,0
3-<12mo_high,1/1/2008,95,681,4088985.659,39,1,0,53,1,0,0,0,3,11,1,1,11,2,3,4,0,0,0,0,2,19,0,2,0,1,1,5,5,1,1,1,0,0,0,25,0,0,18,0,23,5,0,2,0,7,1,3,1,8,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,20,3,0,2,0,0,95,17,2,4,8,8,1,2,6,0,5,0,0,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,6,3,0,32,8,1,1,1,0,5,30,0,124,10,1,18,0,3,6,9,20,2,0,0,0,0,0,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,2,7,0,0,0,0,0,0,0
3-<12mo_high,4/1/2008,144,847,4067105.983,58,1,0,51,0,0,0,0,1,10,1,0,11,1,0,2,0,0,0,0,0,14,0,0,0,0,3,6,5,2,1,1,1,0,0,28,0,0,17,0,38,4,0,0,1,2,0,1,6,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,1,0,1,0,0,145,33,4,6,12,0,3,1,13,0,11,0,0,1,5,2,6,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,11,2,1,51,16,3,0,6,2,2,43,1,143,12,1,24,1,1,9,15,28,5,0,0,0,0,0,0,2,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,6,7,0,0,0,0,0,0,0
3-<12mo_high,7/1/2008,106,745,4044842.505,50,2,0,43,0,0,0,0,1,0,5,1,9,1,1,5,0,2,0,0,0,9,0,1,0,2,1,4,5,0,4,0,0,1,1,20,0,0,10,0,35,6,0,2,0,5,1,3,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,16,2,0,0,0,4,106,22,1,4,18,9,1,0,17,0,9,1,1,1,8,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,7,5,1,52,18,1,0,4,0,2,37,0,130,8,2,7,0,1,8,11,41,5,0,0,0,0,0,0,3,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,7,10,0,0,0,0,0,0,0
3-<12mo_high,10/1/2008,93,674,4022219.518,37,3,0,52,0,0,0,0,0,0,4,0,9,2,3,1,0,0,0,0,0,11,0,2,2,0,3,2,4,1,0,0,1,0,0,11,0,0,8,0,21,3,0,2,0,0,0,1,1,8,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,33,4,1,0,0,4,93,10,0,6,14,6,0,1,5,1,8,0,1,3,6,1,8,2,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,0,37,9,0,0,4,0,6,29,0,137,7,4,15,0,2,9,12,28,2,0,0,0,0,0,0,2,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,5,10,0,0,0,0,0,0,0
